Name,Code,Population
Aruba,ABW,54211
Afghanistan,AFG,8996351
Angola,AGO,5643182
Albania,ALB,1608800
Andorra,AND,13411
Arab World,ARB,92490932
United Arab Emirates,ARE,92634
Argentina,ARG,20619075
Armenia,ARM,1874120
American Samoa,ASM,20013
Antigua and Barbuda,ATG,55339
Australia,AUS,10276477
Austria,AUT,7047539
Azerbaijan,AZE,3895396
Burundi,BDI,2786106
Belgium,BEL,9153489
Benin,BEN,2431622
Burkina Faso,BFA,4829288
Bangladesh,BGD,48199747
Bulgaria,BGR,7867374
Bahrain,BHR,162427
Bahamas The,BHS,109528
Bosnia and Herzegovina,BIH,3225668
Belarus,BLR,8198000
Belize,BLZ,92064
Bermuda,BMU,44400
Bolivia,BOL,3693449
Brazil,BRA,72207554
Barbados,BRB,230939
Brunei Darussalam,BRN,81745
Bhutan,BTN,223288
Botswana,BWA,524552
Central African Republic,CAF,1503508
Canada,CAN,17909009
Central Europe and the Baltics,CEB,91401583
Switzerland,CHE,5327827
Channel Islands,CHI,109420
Chile,CHL,7716625
China,CHN,667070000
Cote d'Ivoire,CIV,3558988
Cameroon,CMR,5176268
Congo Dem. Rep.,COD,15248251
Congo Rep.,COG,1037220
Colombia,COL,16480383
Comoros,COM,191121
Cabo Verde,CPV,202310
Costa Rica,CRI,1333040
Caribbean small states,CSS,4198307
Cuba,CUB,7141135
Curacao,CUW,124826
Cayman Islands,CYM,7865
Cyprus,CYP,572930
Czech Republic,CZE,9602006
Germany,DEU,72814900
Djibouti,DJI,83636
Dominica,DMA,60011
Denmark,DNK,4579603
Dominican Republic,DOM,3294042
Algeria,DZA,11124888
East Asia & Pacific (excluding high income),EAP,896038340
Early-demographic dividend,EAR,979226919
East Asia & Pacific,EAS,1042016962
Europe & Central Asia (excluding high income),ECA,279087938
Europe & Central Asia,ECS,667246384
Ecuador,ECU,4545550
Egypt Arab Rep.,EGY,26996533
Euro area,EMU,265396502
Eritrea,ERI,1397491
Spain,ESP,30455000
Estonia,EST,1211537
Ethiopia,ETH,22151278
European Union,EUU,409498463
Fragile and conflict affected situations,FCS,118438495
Finland,FIN,4429634
Fiji,FJI,393386
France,FRA,46814237
Faroe Islands,FRO,34661
Micronesia Fed. Sts.,FSM,44537
Gabon,GAB,499184
United Kingdom,GBR,52400000
Georgia,GEO,3645600
Ghana,GHA,6652287
Gibraltar,GIB,23394
Guinea,GIN,3577409
Gambia The,GMB,367928
